word,count
party,140
pay,140
remark,140
fall,139
hall,139
forget,139
fresh,139
slight,139
ways,139
can’t,138
grave,138
human,138
somebody,138
pumblechook,138
unless,138
chance,137
bit,137
exactly,137
noise,137
agreeable,136
age,136
anxious,136
cries,136
companion,136
dust,136
merely,136
visitor,136
beginning,135
glance,135
kenge,135
kitchen,135
lighted,135
lie,135
maggy,135
begin,134
leaves,134
edwin,134
real,134
weak,134
stay,134
keeping,133
picture,133
suit,133
wild,133
cap,132
arrived,132
eight,132
pity,132
obliged,132
sudden,132
worn,132
bank,131
caught,131
sea,131
writing,131
yours,131
asleep,130
easily,130
jack,130
longer,130
hurried,129
greatest,129
safe,129
she's,129
altogether,128
darkness,128
plain,128
surely,128
various,128
meaning,127
perfect,127
quickly,127
resumed,127
eh,126
feelings,126
expect,126
noah,126
nearer,126
upstairs,126
visit,126
fixed,125
english,125
leaving,125
horses,125
met,125
running,125
save,125
crowd,124
lucie,124
dressed,124
follow,124
calling,123
respect,123
angry,122
act,122
heads,122
dull,122
man's,122
innocent,122
shake,122
miserable,122
christmas,121
bound,121
smiling,121
rigaud,121
whenever,121
twice,121
boys,120
books,120
bent,120
beauty,120
darling,120
dry,120
forehead,120
satisfaction,120
weather,120
staring,120
worked,120
cast,119
handkerchief,119
finding,119
laying,119
liberty,119
paid,119
charge,118
countenance,118
loss,118
ears,118
happiness,118
mother's,118
busy,117
months,117
pounds,117
sky,117
sharp,117
written,117
born,116
beadle,116
doors,116
fifty,116
expressed,116
smoke,116
private,116
offer,116
opening,116
dodger,115
assure,115
fallen,115
england,115
here's,115
loved,115
shoes,115
reading,115
talking,115
village,115
trees,115
aside,114
according,114
danger,114
lady's,114
hoped,114
giles,114
seven,114
pair,114
quarter,114
wait,114
warm,114
whisper,114
discovery,113
desire,113
force,113
front,113
marriage,113
seated,113
dreadful,112
grey,112
settled,112
send,112
remain,112
reference,112
probably,112
passage,112
thrown,112
started,112
strength,112
difficulty,111
cousin,111
acquaintance,111
bosom,111
chancery,111
laughing,111
rain,111
meet,111
resolved,111
sapsea,111
rugg,111
trying,111
carry,110
cruncher,110
determined,110
falling,110
spare,110
monseigneur,110
o'clock,110
threw,110
prepared,109
pause,109
remarkable,109
terms,109
wide,109
watching,109
burst,108
gradually,108
lives,108
impossible,108
saint,108
servant,108
shining,108
pain,108
tom,108
stands,108
boots,107
break,107
i've,107
hearing,107
forgotten,107
naturally,107
wonderful,107
chivery,106
drinking,106
jerry,106
impression,106
nancy,106
noble,106
wretched,106
acquainted,105
crossed,105
jeremiah,105
ear,105
express,105
following,105
french,105
glancing,105
habit,105
oliver's,105
nephew,105
pride,105
retorted,105
sunday,105
sweet,105
comfort,104
dirty,104
around,104
aware,104
aunt,104
chesney,104
charles,104
bringing,104
handed,104
generally,104
ladyship,104
rouncewell,104
pet,104
nodded,104
papa,104
stopping,104
stick,104
wold,104
paris,103
suspicion,103
stryver,103
unfortunate,103
believed,102
distant,102
dozen,102
loud,102
