display_term,occurrence_count,key
seen,181,Little Dorrit
round,181,Great Expectations
room,181,Great Expectations
turned,181,Little Dorrit
light,180,Bleak House
morning,180,Bleak House
eyes,180,Great Expectations
home,180,Little Dorrit
against,180,Little Dorrit
heard,179,Little Dorrit
say,179,The Mystery of Edwin Drood
know,178,The Mystery of Edwin Drood
head,178,A Tale of Two Cities
indeed,178,Little Dorrit
whole,178,Bleak House
again,177,The Mystery of Edwin Drood
jellyby,177,Bleak House
not,177,A Christmas Carol
people,177,Bleak House
whom,177,Bleak House
nothing,176,Great Expectations
enough,176,Bleak House
face,175,Oliver Twist
far,175,Little Dorrit
love,175,Bleak House
sparkler,175,Little Dorrit
marshalsea,174,Little Dorrit
knew,174,Little Dorrit
years,174,Little Dorrit
knew,173,Great Expectations
long,173,Great Expectations
present,173,Little Dorrit
down,173,The Mystery of Edwin Drood
half,173,Little Dorrit
always,173,Great Expectations
stood,173,Little Dorrit
brought,172,Bleak House
thing,172,Bleak House
gone,171,Little Dorrit
family,170,Bleak House
three,170,Little Dorrit
gone,169,Bleak House
neville,169,The Mystery of Edwin Drood
sat,169,Little Dorrit
thing,169,Little Dorrit
word,169,Little Dorrit
say,168,A Tale of Two Cities
plornish,168,Little Dorrit
together,168,Little Dorrit
time,168,The Mystery of Edwin Drood
rather,167,Little Dorrit
may,167,Great Expectations
first,167,Oliver Twist
barnacle,167,Little Dorrit
soon,167,Bleak House
yes,167,Great Expectations
affery,166,Little Dorrit
case,166,Bleak House
part,166,Little Dorrit
three,166,Bleak House
table,166,Bleak House
perhaps,165,Bleak House
long,165,Oliver Twist
eyes,165,A Tale of Two Cities
face,165,Great Expectations
think,165,Oliver Twist
house,164,Oliver Twist
cried,164,Little Dorrit
asked,164,Little Dorrit
mrs,164,Great Expectations
mean,163,Bleak House
find,163,Little Dorrit
hum,162,Little Dorrit
hear,162,Bleak House
among,162,Little Dorrit
course,162,Bleak House
mean,162,Little Dorrit
oh,162,Little Dorrit
best,161,Bleak House
great,161,A Tale of Two Cities
father,161,A Tale of Two Cities
enough,160,Little Dorrit
brownlow,160,Oliver Twist
dear,160,The Mystery of Edwin Drood
can't,160,Bleak House
mind,160,Great Expectations
looked,160,Oliver Twist
look,160,Oliver Twist
own,160,A Tale of Two Cities
vholes,160,Bleak House
moment,159,Bleak House
years,159,Bleak House
chair,158,Bleak House
comes,158,Bleak House
away,158,Great Expectations
asked,158,Bleak House
whether,158,Bleak House
life,157,A Tale of Two Cities
without,157,Great Expectations
manette,156,A Tale of Two Cities
blandois,156,Little Dorrit
words,156,Little Dorrit
until,156,Little Dorrit
air,155,Little Dorrit
course,155,Little Dorrit
without,155,Oliver Twist
until,154,Bleak House
things,154,Bleak House
towards,154,Little Dorrit
trooper,154,Bleak House
sister,154,Great Expectations
once,153,Great Expectations
round,153,Oliver Twist
young,153,Great Expectations
part,152,Bleak House
felt,152,Bleak House
having,151,Great Expectations
nothing,151,A Tale of Two Cities
young,151,The Mystery of Edwin Drood
tell,151,Great Expectations
may,150,The Mystery of Edwin Drood
pross,150,A Tale of Two Cities
alone,150,Little Dorrit
soon,150,Little Dorrit
carton,149,A Tale of Two Cities
really,149,Little Dorrit
money,148,Bleak House
door,148,Great Expectations
wish,148,Little Dorrit
found,147,Great Expectations
coming,147,Little Dorrit
within,147,Little Dorrit
asked,146,Great Expectations
brought,146,Little Dorrit
seen,146,Great Expectations
told,146,Little Dorrit
prison,145,Little Dorrit
fire,145,Great Expectations
durdles,145,The Mystery of Edwin Drood
good,145,The Mystery of Edwin Drood
began,144,Little Dorrit
against,144,Bleak House
coming,144,Bleak House
money,144,Little Dorrit
times,144,Bleak House
woodcourt,144,Bleak House
looking,143,Oliver Twist
kind,143,Bleak House
letter,143,Bleak House
